Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,Field 9,Value 9,Units 9,Field 10,Value 10,Units 10,Field 11,Value 11,Units 11,Field 12,Value 12,Units 12,Field 13,Value 13,Units 13,Field 14,Value 14,Units 14,Field 15,Value 15,Units 15,Field 16,Value 16,Units 16,Field 17,Value 17,Units 17,Field 18,Value 18,Units 18,Field 19,Value 19,Units 19,Field 20,Value 20,Units 20,Field 21,Value 21,Units 21,Field 22,Value 22,Units 22,Field 23,Value 23,Units 23,Field 24,Value 24,Units 24,Field 25,Value 25,Units 25,Field 26,Value 26,Units 26,Field 27,Value 27,Units 27,Field 28,Value 28,Units 28,Field 29,Value 29,Units 29,Field 30,Value 30,Units 30,Field 31,Value 31,Units 31,Field 32,Value 32,Units 32,Field 33,Value 33,Units 33,Field 34,Value 34,Units 34,Field 35,Value 35,Units 35,Field 36,Value 36,Units 36,Field 37,Value 37,Units 37,Field 38,Value 38,Units 38,Field 39,Value 39,Units 39,
Definition,0,file_id,serial_number,1,,time_created,1,,manufacturer,1,,product,1,,type,1,,
Data,0,file_id,serial_number,"3925437869",,time_created,"925389750",,manufacturer,"1",,garmin_product,"2337",,type,"4",,
Definition,1,file_creator,software_version,1,,,,,,,,,,,,,,
Data,1,file_creator,software_version,"500",,,,,,,,,,,,,,
Definition,2,event,timestamp,1,,data,1,,event,1,,event_type,1,,event_group,1,,
Data,2,event,timestamp,"925389750",s,timer_trigger,"0",,event,"0",,event_type,"0",,event_group,"0",,
Definition,3,device_info,timestamp,1,,serial_number,1,,manufacturer,1,,product,1,,software_version,1,,device_index,1,,source_type,1,,
Data,3,device_info,timestamp,"925389750",s,serial_number,"3925437869",,manufacturer,"1",,garmin_product,"2337",,software_version,"5.0",,device_index,"0",,source_type,"5",,
Definition,3,device_info,timestamp,1,,manufacturer,1,,product,1,,software_version,1,,device_index,1,,device_type,1,,source_type,1,,
Data,3,device_info,timestamp,"925389750",s,manufacturer,"1",,garmin_product,"2337",,software_version,"5.0",,device_index,"1",,device_type,"4",,source_type,"5",,
Data,3,device_info,timestamp,"925389750",s,manufacturer,"0",,product,"0",,software_version,"545.08",,device_index,"2",,device_type,"3",,source_type,"5",,
Data,3,device_info,timestamp,"925389750",s,software_version,"2.74",,device_index,"3",,device_type,"10",,source_type,"5",,,,,,,,
Data,3,device_info,timestamp,"925389750",s,manufacturer,"1",,garmin_product,"0",,software_version,"0.0",,device_index,"4",,device_type,"3",,source_type,"5",,
Definition,4,unknown,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,
Data,4,unknown,unknown,"925389750",,unknown,"4",,unknown,"3",,,,,,,,,,,,,,
Definition,5,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,
Data,5,unknown,unknown,"925389750",,unknown,"925257583",,unknown,"925581583",,unknown,"1",,,,,,,,,,,
Definition,6,device_settings,utc_offset,1,,time_offset,1,,unknown,8,,auto_activity_detect,1,,unknown,4,,unknown,1,,autosync_min_steps,1,,autosync_min_time,1,,active_time_zone,1,,unknown,1,,time_mode,1,,time_zone_offset,1,,unknown,1,,unknown,1,,backlight_mode,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,activity_tracker_enabled,1,,move_alert_enabled,1,,date_mode,1,,unknown,1,,mounting_side,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,ble_auto_upload_enabled,1,,unknown,1,,unknown,1,,
Data,6,device_settings,utc_offset,"0",,time_offset,"3600",s,unknown,"0|0|0|0|0|0|0|0",,auto_activity_detect,"1",,unknown,"255|255|1|0",,unknown,"0",,autosync_min_steps,"2000",steps,autosync_min_time,"240",minutes,active_time_zone,"0",,unknown,"2",,time_mode,"1",,time_zone_offset,"0.0",hr,unknown,"2",,unknown,"2",,backlight_mode,"3",,unknown,"10",,unknown,"40",,unknown,"50",,unknown,"1",,unknown,"0",,unknown,"254",,unknown,"0",,activity_tracker_enabled,"1",,move_alert_enabled,"0",,date_mode,"1",,unknown,"1",,mounting_side,"1",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"2",,unknown,"2",,unknown,"2",,unknown,"1",,unknown,"5",,unknown,"0",,ble_auto_upload_enabled,"1",,unknown,"0",,unknown,"1",,
Definition,7,user_profile,wake_time,1,,sleep_time,1,,unknown,1,,weight,1,,user_running_step_length,1,,user_walking_step_length,1,,unknown,1,,gender,1,,height,1,,language,1,,elev_setting,1,,weight_setting,1,,resting_heart_rate,1,,hr_setting,1,,speed_setting,1,,dist_setting,1,,activity_class,1,,position_setting,1,,temperature_setting,1,,unknown,1,,height_setting,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,7,user_profile,wake_time,"28800",,sleep_time,"79200",,unknown,"15.935745",,weight,"79.0",kg,user_running_step_length,"0.0",m,user_walking_step_length,"0.0",m,unknown,"865",,gender,"1",,height,"1.93",m,language,"0",,elev_setting,"0",,weight_setting,"0",,resting_heart_rate,"47",bpm,hr_setting,"1",,speed_setting,"0",,dist_setting,"0",,activity_class,"80",,position_setting,"2",,temperature_setting,"0",,unknown,"89",,height_setting,"0",,unknown,"0",,unknown,"3",,unknown,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,8,unknown,unknown,1,,unknown,5,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,8,unknown,unknown,"24648113",,unknown,"6577",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,9,sport,name,41,,unknown,1,,sport,1,,sub_sport,1,,unknown,1,,unknown,1,,unknown,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,9,sport,name,"Row|ki|oard|B� � |||B� D�| ",,unknown,"29",,sport,"15",,sub_sport,"0",,unknown,"1",,unknown,"0",,unknown,"0|170|255",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,10,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,10,unknown,unknown,"50000",,unknown,"804672",,unknown,"0",,unknown,"1341",,unknown,"6706",,unknown,"6",,unknown,"0",,unknown,"3",,unknown,"0",,unknown,"1",,unknown,"0",,unknown,"0",,unknown,"1",,unknown,"1",,unknown,"1",,unknown,"0",,unknown,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,11,zones_target,unknown,1,,hr_calc_type,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,11,zones_target,unknown,"0",,hr_calc_type,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,13,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,13,unknown,unknown,"925389751",,unknown,"16318",,unknown,"790",,unknown,"865",,unknown,"29",,unknown,"193",,unknown,"1",,unknown,"70",,unknown,"185",,unknown,"1",,unknown,"60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,3,device_info,timestamp,"925389752",s,manufacturer,"1",,garmin_product,"1619",,software_version,"3.3",,device_index,"5",,device_type,"0",,source_type,"5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,4,unknown,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"925389752",,unknown,"5",,unknown,"5",,unknown,"4",,unknown,"3",,unknown,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,0,lap,timestamp,1,,start_time,1,,start_position_lat,1,,start_position_long,1,,end_position_lat,1,,end_position_long,1,,total_elapsed_time,1,,total_timer_time,1,,total_distance,1,,total_cycles,1,,unknown,1,,unknown,1,,unknown,1,,unknown,1,,message_index,1,,total_calories,1,,avg_speed,1,,max_speed,1,,avg_stroke_distance,1,,event,1,,event_type,1,,avg_heart_rate,1,,max_heart_rate,1,,avg_cadence,1,,max_cadence,1,,lap_trigger,1,,sport,1,,sub_sport,1,,avg_fractional_cadence,1,,max_fractional_cadence,1,,enhanced_avg_speed,2,,enhanced_max_speed,2,,,,,,,,,,,,,,,,,,,,,,,
Data,0,lap,timestamp,"925390698",s,start_time,"925389750",,start_position_lat,"617311369",semicircles,start_position_long,"-14897907",semicircles,end_position_lat,"617226274",semicircles,end_position_long,"-14819929",semicircles,total_elapsed_time,"947.098",s,total_timer_time,"947.098",s,total_distance,"1153.19",m,total_cycles,"117",cycles,unknown,"617311603",,unknown,"-14814805",,unknown,"617218889",,unknown,"-14897907",,message_index,"0",,total_calories,"157",kcal,avg_speed,"1.218",m/s,max_speed,"4.081",m/s,avg_stroke_distance,"9.27",m,event,"9",,event_type,"1",,avg_heart_rate,"118",bpm,max_heart_rate,"145",bpm,avg_cadence,"20",rpm,max_cadence,"38",rpm,lap_trigger,"0",,sport,"15",,sub_sport,"0",,avg_fractional_cadence,"0.421875",rpm,max_fractional_cadence,"0.0",rpm,enhanced_avg_speed,"1.218|1.218|1.218",m/s,enhanced_max_speed,"4.081|4.081|4.081",m/s,,,,,,,,,,,,,,,,,,,,,,
Definition,1,unknown,unknown,1,,unknown,7,,unknown,1,,unknown,1,,unknown,6,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,1,unknown,unknown,"925390698",,unknown,"878002|67999|0|0|0|0|0",,unknown,"19",,unknown,"0",,unknown,"137|151|164|171|178|185",,unknown,"2",,unknown,"185",,unknown,"47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definition,14,record,timestamp,1,,position_lat,1,,position_long,1,,distance,1,,speed,1,,unknown,1,,heart_rate,1,,cadence,1,,fractional_cadence,1,,enhanced_speed,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390785",s,position_lat,"617226281",semicircles,position_long,"-14819787",semicircles,distance,"0.0",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"103",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390786",s,position_lat,"617226279",semicircles,position_long,"-14819793",semicircles,distance,"0.03",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"103",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390787",s,position_lat,"617226271",semicircles,position_long,"-14819799",semicircles,distance,"0.11",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"103",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390788",s,position_lat,"617226265",semicircles,position_long,"-14819804",semicircles,distance,"0.17",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"102",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390789",s,position_lat,"617226263",semicircles,position_long,"-14819808",semicircles,distance,"0.2",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"102",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390790",s,position_lat,"617226260",semicircles,position_long,"-14819810",semicircles,distance,"0.23",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"101",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390791",s,position_lat,"617226259",semicircles,position_long,"-14819809",semicircles,distance,"0.24",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"101",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390792",s,position_lat,"617226262",semicircles,position_long,"-14819806",semicircles,distance,"0.27",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"101",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390793",s,position_lat,"617226265",semicircles,position_long,"-14819805",semicircles,distance,"0.27",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"101",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data,14,record,timestamp,"925390794",s,position_lat,"617226264",semicircles,position_long,"-14819804",semicircles,distance,"0.28",m,speed,"0.0",m/s,unknown,"300",,heart_rate,"101",bpm,cadence,"0",rpm,fractional_cadence,"0.0",rpm,enhanced_speed,"0.0|0.0|0.0",m/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
